campaign_id,drop_answered_count,avg_response_minutes,median_response_minutes
RR_CABLE_HINDI,581,65.81259323006311,42.63333333333333
Luminous_helpline_1,541,71.8690696241528,42.71666666666667
Luminous_helpline_2,40,77.72375,33.375
RR_CABLE_ENG,37,55.571171171171166,33.1
Luminious_helpline_6,18,82.69166666666666,91.64166666666667
RR_Bengoli,18,86.19351851851852,55.18333333333333
RRMOBILE,15,67.26333333333334,29.166666666666668
luminious_helpline_5,13,61.444871794871794,18.183333333333334
Luminous_helpline_4,6,96.90277777777779,80.15833333333333
Luminious_helpline_7,4,35.07083333333333,34.28333333333333
RR_CABLE_MALYALAM,4,25.375,27.025
RR_kannad,4,179.4375,219.175
RR_CABLE_Tamil,3,39.699999999999996,49.28333333333333
Luminous_helpline_3,2,53.65833333333333,53.65833333333333
